ACTION_TYPE,Time,X,Y,SizeMajor,SizeMinor,Orientation,Pressure,Size,Posture,PIN,Sample ID,UUID
Down194012,1482437496127,130.0,98.0,187.0,156.0,1.5358897,4.6,171.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Up194012,1482507202377,130.0,98.0,187.0,156.0,1.5358897,4.6,171.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Down194012,1482798745085,883.0,497.0,187.0,156.0,1.0995574,2.71,171.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Move,1482883900815,883.0,497.0,218.0,187.0,1.0471976,1.1999999,202.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Up194012,1482884602898,883.0,497.0,218.0,187.0,1.0471976,1.1999999,202.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Down194012,1483044926335,136.0,281.0,187.0,156.0,-1.3613569,3.9199998,171.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Move,1483103584148,136.0,281.0,202.0,187.0,-1.2740903,1.43,194.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Up194012,1483105575815,136.0,281.0,202.0,187.0,-1.2740903,1.43,194.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Down194012,1483479542481,574.0,664.0,156.0,140.0,0.6806784,2.81,148.0,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Move,1483555739877,574.0,664.0,171.0,156.0,0.8901179,1.5699999,163.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Up194012,1483556785710,574.0,664.0,171.0,156.0,0.8901179,1.5699999,163.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Down194012,1483757592481,116.0,92.0,187.0,156.0,-1.5184364,4.41,171.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Move,1483798050294,116.0,92.0,171.0,156.0,-1.4486233,4.56,163.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Move,1483826685710,116.0,92.0,187.0,156.0,1.5707964,1.78,171.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Up194012,1483828615919,116.0,92.0,187.0,156.0,1.5707964,1.78,171.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Down194012,1484010758106,541.0,111.0,187.0,140.0,-1.553343,3.85,163.5,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Move,1484096770085,541.0,111.0,218.0,202.0,-0.9773844,1.68,210.0,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Up194012,1484098166439,541.0,111.0,218.0,202.0,-0.9773844,1.68,210.0,sit,194012,c3db45de-e6d9-4b3b-b798-b5dc2754248b,baa02478-350a-4be7-be33-0d4767482076
Down194012,1484810239356,148.0,130.0,171.0,156.0,-1.4137167,4.39,163.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1484823601335,148.0,130.0,187.0,156.0,-1.37881,4.49,171.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1484840063835,148.0,130.0,187.0,156.0,-1.37881,4.49,171.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1484856916439,148.0,130.0,187.0,156.0,-1.37881,4.49,171.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1484873688314,148.0,130.0,187.0,156.0,-1.37881,4.49,171.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1484878631543,148.0,130.0,202.0,187.0,1.2740903,1.2099999,194.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Up194012,1484879960189,148.0,130.0,202.0,187.0,1.2740903,1.2099999,194.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Down194012,1484989187273,913.0,459.0,156.0,124.0,1.2915436,2.06,140.0,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1485055299252,913.0,459.0,156.0,124.0,1.3264502,2.6799998,140.0,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1485104945606,913.0,459.0,156.0,124.0,1.3264502,2.6799998,140.0,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Up194012,1485107983627,913.0,459.0,233.0,187.0,1.3264502,1.0699999,210.0,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Down194012,1485293870606,156.0,323.0,187.0,140.0,-1.4660766,3.21,163.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1485370370085,156.0,323.0,202.0,187.0,-1.5184364,1.31,194.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Up194012,1485371927898,156.0,323.0,202.0,187.0,-1.5184364,1.31,194.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Down194012,1485721382585,542.0,679.0,171.0,156.0,1.4486233,4.5099998,163.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1485788951856,542.0,679.0,187.0,171.0,-1.553343,1.73,179.0,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Up194012,1485790393002,542.0,679.0,187.0,171.0,-1.553343,1.73,179.0,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Down194012,1485914020085,122.0,108.0,171.0,140.0,1.553343,4.1,155.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1485949585710,122.0,108.0,187.0,156.0,-1.553343,4.39,171.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1485966009668,122.0,108.0,187.0,156.0,-1.553343,4.39,171.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1485982523731,122.0,108.0,187.0,140.0,1.5707964,1.93,163.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1485993989356,122.0,108.0,202.0,187.0,1.43117,1.0799999,194.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Up194012,1485995299772,122.0,108.0,202.0,187.0,1.43117,1.0799999,194.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Down194012,1486168641960,549.0,136.0,187.0,171.0,-1.3613569,5.37,179.0,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1486197027377,549.0,136.0,202.0,171.0,-1.3962634,6.44,186.5,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1486213713835,549.0,136.0,187.0,171.0,-1.4137167,6.37,179.0,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
Move,1486247116439,549.0,136.0,218.0,202.0,-1.134464,1.8199999,210.0,sit,194012,d4fcc338-25d7-4b5c-bb19-b7dadf9a8e21,baa02478-350a-4be7-be33-0d4767482076
