ACTION_TYPE,Time,X,Y,SizeMajor,SizeMinor,Orientation,Pressure,Size,Posture,PIN,Sample ID,UUID
Down194012,27035385089623,166.0,71.0,264.0,156.0,1.5358897,4.06,210.0,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27035403723998,166.0,71.0,249.0,156.0,1.553343,4.06,202.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27035429034415,166.0,71.0,280.0,187.0,1.553343,1.8,233.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Up194012,27035430376081,166.0,71.0,280.0,187.0,1.553343,1.8,233.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Down194012,27035629359415,867.0,469.0,218.0,187.0,1.3962634,1.43,202.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Up194012,27035640169311,867.0,469.0,218.0,187.0,1.3962634,1.43,202.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Down194012,27036329870352,163.0,273.0,264.0,140.0,-1.134464,3.79,202.0,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27036361869311,163.0,273.0,280.0,156.0,-1.1170107,2.11,218.0,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27036365470873,163.0,273.0,296.0,171.0,-1.134464,1.37,233.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Up194012,27036366010456,163.0,273.0,296.0,171.0,-1.134464,1.37,233.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Down194012,27036522325560,549.0,665.0,187.0,171.0,-1.43117,5.8599997,179.0,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27036542472435,549.0,665.0,202.0,171.0,-1.43117,6.14,186.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27036558899519,549.0,665.0,202.0,171.0,-1.43117,6.14,186.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27036592154727,549.0,665.0,249.0,202.0,-1.4835298,2.21,225.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Up194012,27036593521394,549.0,665.0,249.0,202.0,-1.4835298,2.21,225.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Down194012,27036867223477,172.0,116.0,264.0,140.0,-1.5009831,4.5299997,202.0,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27036904482852,170.49261,116.0,249.0,140.0,-1.5009831,4.62,194.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27036919333894,162.0,116.0,233.0,171.0,-1.37881,1.41,202.0,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Up194012,27036920667748,162.0,116.0,233.0,171.0,-1.37881,1.41,202.0,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Down194012,27037068301081,628.0,116.0,187.0,156.0,-1.43117,3.35,171.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27037084455248,628.0,116.0,218.0,187.0,-1.3439035,6.6,202.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27037117330248,628.0,116.0,218.0,187.0,-1.3439035,6.6,202.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27037134257331,628.0,116.0,218.0,187.0,-1.3439035,6.6,202.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27037138407852,628.0,116.0,249.0,202.0,-1.37881,1.87,225.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Up194012,27037139407852,628.0,116.0,249.0,202.0,-1.37881,1.87,225.5,sit,194012,a0da3848-fb67-4d73-b717-b76ba4ac54cc,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Down194012,27037966439102,164.0,100.0,249.0,124.0,-1.5358897,3.74,186.5,sit,194012,ba398da1-b658-40d6-9112-7bdef83cd8f2,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27038003966706,164.0,100.0,218.0,124.0,-1.4835298,2.62,171.0,sit,194012,ba398da1-b658-40d6-9112-7bdef83cd8f2,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27038008526081,164.0,100.0,280.0,156.0,-1.5009831,1.63,218.0,sit,194012,ba398da1-b658-40d6-9112-7bdef83cd8f2,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Up194012,27038009514102,164.0,100.0,280.0,156.0,-1.5009831,1.63,218.0,sit,194012,ba398da1-b658-40d6-9112-7bdef83cd8f2,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Down194012,27038199142227,870.0,468.0,187.0,171.0,1.2915436,3.29,179.0,sit,194012,ba398da1-b658-40d6-9112-7bdef83cd8f2,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Move,27038278027123,870.0,468.0,202.0,187.0,1.2566371,1.54,194.5,sit,194012,ba398da1-b658-40d6-9112-7bdef83cd8f2,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
Up194012,27038279675039,870.0,468.0,202.0,187.0,1.2566371,1.54,194.5,sit,194012,ba398da1-b658-40d6-9112-7bdef83cd8f2,d11c2d8e-f29d-4e2e-8e01-02bc0ad55017
