ACTION_TYPE,Time,X,Y,SizeMajor,SizeMinor,Orientation,Pressure,Size,Posture,PIN,Sample ID,UUID
Down194012,35246600455037,245.0,114.0,187.0,156.0,0.36651915,3.83,171.5,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
Move,35246611811287,245.0,114.0,218.0,187.0,0.8901179,6.67,202.5,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
Move,35246629322224,245.0,114.0,218.0,187.0,0.8901179,6.67,202.5,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
Move,35246661770141,245.0,114.0,218.0,187.0,0.8901179,6.67,202.5,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
Move,35246678331078,245.0,114.0,218.0,187.0,0.8901179,6.67,202.5,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
Move,35246694567016,245.0,114.0,218.0,187.0,0.8901179,6.67,202.5,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
Move,35246700466495,245.0,114.0,264.0,233.0,0.83775806,1.86,248.5,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
Up194012,35246701363370,245.0,114.0,264.0,233.0,0.83775806,1.86,248.5,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
Down194012,35247101557120,883.0,478.0,202.0,140.0,0.80285144,2.74,171.0,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
Move,35247142201391,883.0,478.0,187.0,140.0,0.7853982,2.8999999,163.5,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
Move,35247174869620,883.0,478.0,202.0,156.0,0.80285144,2.21,179.0,sit,194012,f8c09a59-7d69-49c9-aaca-36226f525d99,ecf006f3-0260-4663-8c45-fe7a5e0b5f83
