ACTION_TYPE,Time,X,Y,SizeMajor,SizeMinor,Orientation,Pressure,Size,Posture,PIN,Sample ID,UUID
Down194012,89689157674855,139.0,147.0,187.0,171.0,1.3264502,4.77,179.0,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Move,89689216586313,139.0,147.0,202.0,187.0,1.37881,1.5999999,194.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Up194012,89689218167563,139.0,147.0,202.0,187.0,1.37881,1.5999999,194.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Down194012,89689832887875,912.0,441.0,171.0,124.0,1.1693705,2.81,147.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Move,89689856781625,912.0,441.0,187.0,124.0,1.2915436,3.11,155.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Move,89689889771209,912.0,441.0,187.0,124.0,1.2915436,3.11,155.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Move,89689904336834,912.0,441.0,202.0,156.0,1.2915436,1.3199999,179.0,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Up194012,89689904862875,912.0,441.0,202.0,156.0,1.2915436,1.3199999,179.0,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Down194012,89690038927459,130.0,274.0,187.0,156.0,-1.5358897,4.44,171.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Move,89690119556625,130.0,274.0,187.0,140.0,1.553343,2.3,163.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Move,89690124059229,130.0,274.0,202.0,187.0,1.0821041,1.03,194.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Up194012,89690124593604,130.0,274.0,202.0,187.0,1.0821041,1.03,194.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Down194012,89690405936313,547.0,602.0,187.0,187.0,0.6806784,5.79,187.0,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Move,89690464733188,547.0,602.0,171.0,156.0,1.3439035,4.0499997,163.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Move,89690481151938,547.0,602.0,233.0,202.0,0.13962634,1.3399999,217.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Up194012,89690482456104,547.0,602.0,233.0,202.0,0.13962634,1.3399999,217.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Down194012,89690557125896,124.0,125.0,187.0,171.0,1.0995574,4.69,179.0,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Move,89690612385271,124.0,125.0,171.0,140.0,1.43117,2.57,155.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
Move,89690620894125,124.0,125.0,202.0,187.0,1.2391838,1.18,194.5,sit,194012,88fff55a-38ac-441c-9d81-ea003bdfa111,7daedfee-17fa-4b28-842d-1f2fb2d09864
