ACTION_TYPE,Time,X,Y,SizeMajor,SizeMinor,Orientation,Pressure,Size,Posture,PIN,Sample ID,UUID
Down194012,7092477874958,128.0,76.0,171.0,156.0,1.5707964,3.75,163.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7092521446833,128.0,76.0,187.0,171.0,1.5358897,3.02,179.0,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7092534012979,128.0,76.0,202.0,187.0,-1.553343,1.3,194.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Up194012,7092535143708,128.0,76.0,202.0,187.0,-1.553343,1.3,194.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Down194012,7092860872874,880.0,459.0,187.0,140.0,1.4137167,2.25,163.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7092918397353,880.0,459.0,202.0,140.0,1.3962634,1.8299999,171.0,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Up194012,7092919615062,880.0,459.0,202.0,140.0,1.3962634,1.8299999,171.0,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Down194012,7093540989020,151.0,271.0,171.0,156.0,-1.3613569,2.08,163.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7093611715583,151.0,271.0,187.0,156.0,-1.553343,1.53,171.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Up194012,7093613531208,151.0,271.0,187.0,156.0,-1.553343,1.53,171.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Down194012,7093945455166,585.0,639.0,202.0,171.0,-1.0646509,4.7,186.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7093961773395,585.0,639.0,218.0,171.0,-1.2391838,5.02,194.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7094011762457,585.0,639.0,202.0,171.0,-1.0297443,4.99,186.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7094028281728,585.0,639.0,218.0,171.0,-1.2391838,5.02,194.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Up194012,7094028932249,585.0,639.0,249.0,202.0,-1.2217305,2.3,225.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Down194012,7094122860374,162.0,92.0,187.0,171.0,0.9250245,2.55,179.0,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7094177303082,162.0,92.0,202.0,187.0,1.43117,1.92,194.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7094185471832,162.0,92.0,218.0,187.0,1.3089969,1.16,202.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Up194012,7094186898916,162.0,92.0,218.0,187.0,1.3089969,1.16,202.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Down194012,7094438495270,603.0,133.0,202.0,187.0,-1.3089969,5.54,194.5,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7094496604124,603.0,133.0,218.0,202.0,-0.9075712,1.62,210.0,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Up194012,7094497167145,603.0,133.0,218.0,202.0,-0.9075712,1.62,210.0,sit,194012,ddcec091-8691-4ad9-afa3-fc52dadd3e2b,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Down194012,7095049540062,152.0,82.0,171.0,171.0,1.1519173,3.29,171.0,sit,194012,7165871f-098f-4197-ad27-a4c0dbe7a236,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7095070803603,152.0,82.0,187.0,171.0,1.4137167,4.37,179.0,sit,194012,7165871f-098f-4197-ad27-a4c0dbe7a236,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7095137199957,152.0,82.0,202.0,171.0,1.4137167,2.23,186.5,sit,194012,7165871f-098f-4197-ad27-a4c0dbe7a236,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Up194012,7095144442145,152.0,82.0,202.0,171.0,1.4137167,2.23,186.5,sit,194012,7165871f-098f-4197-ad27-a4c0dbe7a236,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Down194012,7095739093186,848.0,466.0,156.0,140.0,1.3613569,2.9299998,148.0,sit,194012,7165871f-098f-4197-ad27-a4c0dbe7a236,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7095749822874,848.0,466.0,187.0,156.0,1.2740903,3.3999999,171.5,sit,194012,7165871f-098f-4197-ad27-a4c0dbe7a236,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Move,7095815683291,848.0,466.0,187.0,156.0,1.2740903,3.3999999,171.5,sit,194012,7165871f-098f-4197-ad27-a4c0dbe7a236,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Up194012,7095825869749,848.0,466.0,202.0,171.0,1.1693705,1.92,186.5,sit,194012,7165871f-098f-4197-ad27-a4c0dbe7a236,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
Down194012,7096168663499,164.0,281.0,156.0,156.0,-0.5934119,2.9399998,156.0,sit,194012,7165871f-098f-4197-ad27-a4c0dbe7a236,9daaf448-c4f9-44c2-bd9c-bf2b4f328c5b
